title,company,lang,link
글로벌팀 백엔드 엔지니어 (Python),엘리스,python,https://www.wanted.co.kr//wd/182859
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자",메디인테크,python,https://www.wanted.co.kr//wd/100407
"백엔드 개발자(Python, Django)",어터,python,https://www.wanted.co.kr//wd/173374
python django 백엔드 개발자,리갈하이,python,https://www.wanted.co.kr//wd/204351
Python Developer (Product),비바리퍼블리카(토스),python,https://www.wanted.co.kr//wd/172779
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",메디인테크,python,https://www.wanted.co.kr//wd/147487
[Python] 백엔드 테크 리드 / 핀테크,얼리페이,python,https://www.wanted.co.kr//wd/206123
"C#, C++, Python, IoT MCU(아두이노,RPi) 개발자",아이티로그,python,https://www.wanted.co.kr//wd/187186
[200억↑투자] 백엔드 개발자(Python),바로팜,python,https://www.wanted.co.kr//wd/66521
"백엔드 개발자(C#, Java, Python, Hack)",애딥랩,python,https://www.wanted.co.kr//wd/178948
Frontend 및 Backend(python) 개발자,마인즈앤컴퍼니,python,https://www.wanted.co.kr//wd/156436
[인텔리전스랩스] MLOps팀 백엔드 개발자 (Python/Go),넥슨코리아(NEXON),python,https://www.wanted.co.kr//wd/151721
Python Developer,사이버메드,python,https://www.wanted.co.kr//wd/148605
"웹개발자(Python, Django) 3년이상",리걸테크,python,https://www.wanted.co.kr//wd/148349
"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA)",페이타랩(패스오더),python,https://www.wanted.co.kr//wd/196993
"백엔드(Python,Kotlin) 개발자 (1년 이상)",피플펀드컴퍼니(PeopleFundCompany),python,https://www.wanted.co.kr//wd/40457
백엔드 엔지니어 (Python),버핏서울,python,https://www.wanted.co.kr//wd/197592
"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA,주니어)",페이타랩(패스오더),python,https://www.wanted.co.kr//wd/45650
[100억↑투자] 백엔드(Python) 개발자 (QUAT),엔라이즈(NRISE),python,https://www.wanted.co.kr//wd/190204
"Back-End (Python, Java)",미니레코드,python,https://www.wanted.co.kr//wd/204028
"백엔드 개발자(Python, Django) (2년차 이상)",와이피랩스(커넥팅),python,https://www.wanted.co.kr//wd/169285
[플레이오][신입] Python 백엔드 개발,지엔에이컴퍼니,python,https://www.wanted.co.kr//wd/193602
백엔드 엔지니어 (Python),피클플러스,python,https://www.wanted.co.kr//wd/172732
오픈업 데이터 엔지니어 (Python),핀다(FINDA),python,https://www.wanted.co.kr//wd/180080
[인텔리전스랩스] 소셜메이킹팀 백엔드 개발자 (Python),넥슨코리아(NEXON),python,https://www.wanted.co.kr//wd/205855
[신입] 백엔드 엔지니어 (Python),엘리스,python,https://www.wanted.co.kr//wd/162405
[100억↑투자] SW Developer(Python or Javascript),수퍼톤,python,https://www.wanted.co.kr//wd/166771
Python Django 기반 서버 개발,블리몽키즈,python,https://www.wanted.co.kr//wd/184372
Back-end Developer_Python_AI Service (2년 이상),쏘마,python,https://www.wanted.co.kr//wd/198178
Python 백엔드 개발자,패스트파이브,python,https://www.wanted.co.kr//wd/203425
Python Developer (Platform),비바리퍼블리카(토스),python,https://www.wanted.co.kr//wd/176110
[인텔리전스랩스] 게임 이상탐지 백엔드 개발자 (Python),넥슨코리아(NEXON),python,https://www.wanted.co.kr//wd/202474
백엔드 엔지니어 (Python),엘리스,python,https://www.wanted.co.kr//wd/57878
[200억↑투자] 서비스 API (Python/Django) 개발,놀이의발견,python,https://www.wanted.co.kr//wd/181923
"Data Engineer (Python, SQL)",이랜드이노플,python,https://www.wanted.co.kr//wd/184348
Python Back-end Engineer,올거나이즈코리아(Allganize Korea),python,https://www.wanted.co.kr//wd/160068
파이썬(Python) 개발자,에잇퍼센트(8PERCENT),python,https://www.wanted.co.kr//wd/181863
"백엔드(Python, Java) 엔지니어",액스,python,https://www.wanted.co.kr//wd/162002
